单词,总次数,完形,阅读,新题型,翻译,写作,完整试卷,未分类,出现年份
the,6057,404,3377,658,395,93,1128,2,1998-2024(26年)
of,3310,195,1768,403,283,32,627,2,1998-2024(26年)
to,2921,195,1589,356,200,18,562,1,1998-2024(26年)
and,2141,139,1048,309,173,25,446,1,1998-2024(26年)
in,1940,138,1029,227,151,21,373,1,1998-2024(26年)
that,1353,94,790,128,109,2,229,1,1998-2024(26年)
is,1205,56,730,114,105,3,196,1,1998-2024(26年)
for,973,84,507,112,62,11,196,1,1998-2024(26年)
are,751,46,410,94,50,5,145,1,1998-2024(26年)
on,749,75,345,80,58,41,149,1,1998-2024(26年)
it,731,42,421,78,62,2,125,1,1998-2024(26年)
be,729,38,433,64,51,3,139,1,1998-2024(26年)
as,723,63,373,92,67,1,126,1,1998-2024(26年)
by,532,45,288,59,35,1,103,1,1998-2024(26年)
with,508,52,255,66,29,3,102,1,1998-2024(26年)
their,500,23,280,58,24,0,114,1,1998-2024(26年)
have,496,24,280,71,34,2,84,1,1998-2024(26年)
not,464,36,227,65,39,20,76,1,1998-2024(26年)
from,449,24,242,68,24,1,89,1,1998-2024(25年)
they,439,29,226,68,30,0,85,1,1998-2024(26年)
or,412,37,195,63,46,1,69,1,1998-2024(26年)
but,399,30,215,51,30,1,71,1,1998-2024(26年)
an,386,23,176,29,33,25,99,1,1998-2024(26年)
more,373,19,220,41,27,0,65,1,1998-2024(26年)
has,366,12,243,28,25,0,57,1,1998-2024(26年)
at,337,32,152,39,24,11,78,1,1998-2024(26年)
can,323,19,185,40,13,0,65,1,1998-2024(26年)
this,311,29,163,28,34,0,56,1,1998-2024(26年)
you,299,15,80,84,21,47,51,1,1998-2024(26年)
was,287,30,132,34,32,0,58,1,1998-2024(26年)
which,286,19,144,36,38,2,46,1,1998-2024(26年)
its,282,6,178,19,22,12,44,1,1998-2024(26年)
we,268,16,141,29,45,0,36,1,1998-2024(26年)
will,258,9,151,34,13,0,50,1,1998-2024(26年)
your,251,6,55,58,35,53,43,1,1998-2024(26年)
one,248,22,119,44,25,1,36,1,1998-2024(26年)
about,248,14,128,36,13,11,45,1,1998-2024(26年)
what,240,9,131,42,12,1,44,1,1998-2024(26年)
should,239,6,95,29,30,38,40,1,1998-2024(26年)
than,228,21,134,23,14,3,32,1,1998-2024(26年)
all,228,17,129,34,13,0,34,1,1998-2024(26年)
people,218,21,119,29,5,0,43,1,1998-2024(26年)
new,216,10,137,15,11,0,42,1,1998-2024(26年)
been,215,10,113,28,23,1,39,1,1998-2024(26年)
may,208,19,122,13,12,0,41,1,1998-2024(26年)
text,206,17,122,22,4,0,40,1,1998-2024(26年)
who,204,10,114,22,15,0,42,1,1998-2024(26年)
his,200,12,83,49,27,0,28,1,1998-2024(26年)
he,195,24,87,30,26,0,27,1,1998-2024(24年)
some,194,15,88,27,17,2,44,1,1998-2024(26年)
most,193,5,113,31,10,0,33,1,1998-2024(26年)
answer,191,27,57,16,26,26,38,1,1998-2024(26年)
if,190,22,95,27,17,0,28,1,1998-2024(26年)
